[Fri May 05 00:19:58 2017] [error] [client 192.168.1.15] PHP Parse error:  syntax error, unexpected '^', expecting ']' in /var/public/repos/maki/dist/index.php on line 4876
[Fri May 05 00:24:36 2017] [error] [client 192.168.1.15] PHP Parse error:  syntax error, unexpected '<<' (T_SL) in /var/public/repos/maki/dist/index.php on line 4862
[Fri May 05 00:27:21 2017] [error] [client 192.168.1.15] PHP Parse error:  syntax error, unexpected '<<' (T_SL) in /var/public/repos/maki/dist/index.php on line 4862
[Fri May 05 00:32:34 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/
[Fri May 05 00:32:47 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74
[Fri May 05 00:39:09 2017] [error] [client 192.168.1.15] PHP Warning:  scandir(): Directory name cannot be empty in /var/public/repos/maki/dist/index.php on line 4442, referer: http://maki.dev/dist/
[Fri May 05 00:39:09 2017] [error] [client 192.168.1.15] PHP Warning:  Invalid argument supplied for foreach() in /var/public/repos/maki/dist/index.php on line 4442, referer: http://maki.dev/dist/
[Fri May 05 00:39:09 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
[Fri May 05 00:40:36 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
[Fri May 05 00:41:10 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
[Fri May 05 00:42:07 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
[Fri May 05 00:42:09 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
[Fri May 05 00:42:13 2017] [error] [client 192.168.1.15] PHP Fatal error:  Uncaught exception 'InvalidArgumentException' with message 'File class for "favicon.ico" not exists.' in /var/public/repos/maki/src/Maki/Controller/PageController.php:74\nStack trace:\n#0 /var/public/repos/maki/src/Maki/Controller/PageController.php(124): Maki\\Controller\\PageController->createFileInstance('favicon.ico')\n#1 /var/public/repos/maki/src/Maki/Controller/PageController.php(134): Maki\\Controller\\PageController->createPageFileInstanceFromRequest()\n#2 [internal function]: Maki\\Controller\\PageController->pageAction()\n#3 /var/public/repos/maki/src/Maki/Maki.php(459): call_user_func(Array)\n#4 /var/public/repos/maki/src/Maki/Maki.php(442): Maki\\Maki->dispatchController('Maki\\\\Controller...', 'pageAction')\n#5 /var/public/repos/maki/src/Maki/Maki.php(137): Maki\\Maki->handleRequest()\n#6 /var/public/repos/maki/index.php(23): Maki\\Maki->__construct(Array)\n#7 {main}\n  thrown in /var/public/repos/maki/src/Maki/Controller/PageController.php on line 74, referer: http://maki.dev/dist/?ctrl=page&action=archive
